Time,U0,U1,U2,U3,L0,L1,L2,L3,L4,U0L0,U0L1,U1L0,U1L3,U1L4,U2L4,U2L0,U3L2,U3L0
0.44800000000000006,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4484,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.44880000000000003,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.44920000000000015,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4496000000000001,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.45000000000000007,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4504,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4508,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.45120000000000005,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4516000000000001,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.45200000000000007,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4524,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4528,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.45319999999999994,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4535999999999999,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.454,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4544,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4548,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.45519999999999994,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4556000000000001,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.45600000000000007,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.45640000000000003,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.45680000000000004,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.45720000000000016,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4576000000000001,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4580000000000001,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.45840000000000003,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4588,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.45920000000000005,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4596,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4600000000000001,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.46040000000000003,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4608,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.46119999999999994,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4615999999999999,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.462,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.46240000000000003,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4628,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.46320000000000017,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4635999999999999,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4640000000000001,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.46440000000000003,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.46480000000000005,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.46520000000000017,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4656000000000001,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4660000000000001,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.46640000000000004,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4668,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.46720000000000006,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4676,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4680000000000001,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.46840000000000004,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4688,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.46919999999999995,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4695999999999999,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.47000000000000003,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.47040000000000004,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4708,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.47119999999999995,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.47160000000000013,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4720000000000001,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.47240000000000004,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.47280000000000005,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4732000000000002,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.47360000000000013,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4740000000000001,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.47440000000000004,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4748,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.47520000000000007,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4756,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4760000000000001,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.47640000000000005,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4768,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.47719999999999996,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4775999999999999,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
