Time,U0,U1,U2,U3,L0,L1,L2,L3,L4,U2L2,U0L1,U0L2,U0L4,U1L3,U1L1,U2L1,U2L3,U3L1,U3L2
0.2850000000000001,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,826.9,643.1,1204.7,842.3,0.0,51.3,387.1,361.4
0.28520000000000006,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,826.9,643.1,1204.7,842.3,0.0,51.3,387.1,361.4
0.28540000000000004,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,826.9,643.1,1204.7,842.3,0.0,51.3,387.1,361.4
0.2856,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,826.9,643.1,1204.7,842.3,0.0,51.3,387.1,361.4
0.28580000000000005,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,826.9,643.1,1204.7,842.3,0.0,51.3,387.1,361.4
0.28600000000000003,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,826.9,643.1,1204.7,842.3,0.0,51.3,387.1,361.4
0.2862,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,826.9,643.1,1204.7,842.3,0.0,51.3,387.1,361.4
0.28640000000000004,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,826.9,643.1,1204.7,842.3,0.0,51.3,387.1,361.4
0.2866,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,826.9,643.1,1204.7,842.3,0.0,51.3,387.1,361.4
0.2868,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,826.9,643.1,1204.7,842.3,0.0,51.3,387.1,361.4
0.287,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,826.9,643.1,1204.7,842.3,0.0,51.3,387.1,361.4
0.28719999999999996,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,826.9,643.1,1204.7,842.3,0.0,51.3,387.1,361.4
0.2874,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,826.9,643.1,1204.7,842.3,0.0,51.3,387.1,361.4
0.28759999999999997,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,826.9,643.1,1204.7,842.3,0.0,51.3,387.1,361.4
